time_local,Total_Number_Incidents
1/4/2019 18:10,1
1/19/2019 19:55,1
1/18/2019 18:50,1
1/8/2019 15:50,1
1/22/2019 7:30,1
1/14/2019 18:10,1
1/29/2019 10:30,1
1/9/2019 8:05,1
1/30/2019 7:15,1
1/10/2019 15:20,1
1/12/2019 16:15,1
2/13/2019 18:05,1
2/13/2019 18:35,1
2/15/2019 14:10,1
2/3/2019 18:05,1
2/24/2019 14:55,1
2/28/2019 12:30,1
2/28/2019 20:50,1
2/11/2019 8:00,1
3/17/2019 13:45,1
3/30/2019 20:20,1
3/22/2019 20:25,1
3/23/2019 11:55,1
3/22/2019 20:10,1
3/29/2019 11:40,1
3/26/2019 17:15,1
3/22/2019 17:15,1
3/15/2019 13:35,1
3/20/2019 16:25,1
3/5/2019 15:45,1
3/7/2019 17:15,1
3/14/2019 6:50,1
3/13/2019 12:35,1
3/8/2019 15:30,1
3/8/2019 17:20,1
4/1/2019 13:35,1
4/7/2019 11:10,1
4/6/2019 14:15,1
4/3/2019 10:20,1
4/24/2019 11:10,1
4/23/2019 11:30,1
4/22/2019 15:10,1
4/19/2019 15:00,1
4/29/2019 17:35,1
4/28/2019 12:40,1
4/27/2019 20:35,1
4/27/2019 7:50,1
4/22/2019 13:20,1
4/16/2019 11:50,1
4/12/2019 20:05,1
5/12/2019 16:10,1
5/13/2019 17:00,1
5/17/2019 11:50,1
5/20/2019 12:05,1
5/21/2019 13:45,1
5/29/2019 8:00,1
5/29/2019 10:30,1
5/29/2019 17:25,1
5/30/2019 13:35,1
5/12/2019 16:05,1
5/12/2019 10:40,1
5/2/2019 10:40,1
5/3/2019 16:20,1
5/5/2019 18:25,1
5/5/2019 20:40,1
5/11/2019 15:40,1
5/5/2019 18:15,1
6/24/2019 18:15,1
6/30/2019 12:30,1
6/15/2019 15:40,1
6/19/2019 12:45,1
6/21/2019 19:20,1
6/23/2019 15:30,1
6/27/2019 15:05,1
6/19/2019 17:50,1
6/5/2019 17:30,1
7/12/2019 12:30,1
7/16/2019 18:35,1
7/11/2019 14:00,1
7/13/2019 11:55,1
7/19/2019 17:00,1
7/22/2019 13:30,1
7/29/2019 17:15,1
7/30/2019 17:55,1
7/31/2019 15:15,1
7/4/2019 12:35,1
7/3/2019 7:55,1
8/30/2019 15:45,1
8/15/2019 13:00,1
8/29/2019 15:50,1
8/17/2019 19:00,1
8/20/2019 20:20,1
8/21/2019 16:40,1
8/21/2019 16:45,1
8/25/2019 19:55,1
8/24/2019 13:15,1
8/17/2019 19:25,1
8/11/2019 12:45,1
8/5/2019 11:05,1
8/6/2019 10:50,1
8/6/2019 11:50,1
8/22/2019 18:10,1
9/25/2019 14:20,1
9/17/2019 15:25,1
9/17/2019 10:45,1
9/17/2019 17:20,1
9/17/2019 15:10,1
9/1/2019 19:50,1
9/13/2019 15:15,1
9/8/2019 13:20,1
9/6/2019 16:40,1
9/16/2019 12:10,1
9/8/2019 10:20,1
9/27/2019 6:50,1
9/28/2019 14:40,1
9/29/2019 12:35,1
9/30/2019 11:35,1
10/20/2019 18:40,1
10/18/2019 16:45,1
10/16/2019 15:00,1
10/31/2019 6:15,1
10/30/2019 14:35,1
10/29/2019 13:35,1
10/4/2019 16:00,1
10/8/2019 8:35,1
10/5/2019 19:20,1
10/5/2019 11:20,1
10/4/2019 16:35,1
10/3/2019 11:20,1
10/1/2019 15:55,1
10/10/2019 13:25,1
10/11/2019 17:20,1
10/12/2019 13:30,1
10/14/2019 14:25,1
11/22/2019 17:45,1
11/25/2019 15:00,1
11/27/2019 8:35,1
11/16/2019 20:05,1
11/19/2019 10:50,1
11/13/2019 17:05,1
11/7/2019 17:05,1
11/14/2019 7:30,1
11/5/2019 14:20,1
11/1/2019 19:40,1
11/1/2019 9:05,1
11/21/2019 17:50,1
11/21/2019 14:00,1
11/20/2019 17:20,1
12/15/2019 15:50,1
12/4/2019 6:30,1
12/1/2019 12:05,1
12/12/2019 20:40,1
12/5/2019 13:25,1
12/26/2019 10:05,1
12/25/2019 6:30,1
12/25/2019 6:15,1
12/23/2019 19:45,1
12/23/2019 13:25,1
12/27/2019 14:10,1
12/27/2019 14:15,1
12/31/2019 9:05,1
12/29/2019 18:10,1
12/29/2019 11:00,1
12/28/2019 13:40,1
12/20/2019 20:40,1
12/19/2019 16:00,1
12/15/2019 18:05,1
